Wed Jul 13 16:41:56 2022    output.dat

         3523631 function calls (3518926 primitive calls) in 25.466 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1356000    0.224    0.000    0.224    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\scrolling_map.py:12(screen_to_map)
   406789    0.027    0.000    0.027    0.000 {built-in method builtins.len}
   382572    0.037    0.000    0.037    0.000 {method 'encode' of 'str' objects}
   382565    0.244    0.000    0.562    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:932(print)
   382565    0.256    0.000    0.256    0.000 {built-in method tcod._libtcod.TCOD_console_printn}
   376103    0.038    0.000    0.038    0.000 {built-in method builtins.chr}
    23007    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    20480    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
    17402    0.005    0.000    0.006    0.000 C:\Program Files\Python38\lib\types.py:171(__get__)
    17402    0.002    0.000    0.002    0.000 C:\Program Files\Python38\lib\enum.py:659(value)
    17402    0.007    0.000    0.013    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:108(<lambda>)
    13291    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     8774    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     5474    0.000    0.000    0.000    0.000 {built-in method builtins.id}
  4315/66    0.004    0.000    0.008    0.000 C:\Program Files\Python38\lib\copy.py:128(deepcopy)
     3802    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
     3740    0.001    0.000    0.002    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\entity.py:46(gamemap)
     3740    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:48(gamemap)
     3600    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copy.py:182(_deepcopy_atomic)
     3545    0.001    0.000    0.003    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:21(engine)
     2626    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2386    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     2380    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:51(hp)
     2373    0.001    0.000    0.005    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\render_functions.py:97(render_part)
     2287    0.002    0.000    0.043    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\message_log.py:49(wrap)
     1956    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\random.py:250(_randbelow_with_getrandbits)
     1956    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
     1940    0.001    0.000    0.002    0.000 C:\Program Files\Python38\lib\random.py:200(randrange)
     1940    0.001    0.000    0.003    0.000 C:\Program Files\Python38\lib\random.py:244(randint)
     1878    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1774    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\scrolling_map.py:18(map_to_screen)
     1737    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:17(__init__)
     1726    0.001    0.000    0.003    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_gen_tools.py:22(select_random_tile)
     1689    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
     1675    0.002    0.000    0.003    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:55(<genexpr>)
     1675    0.001    0.000    0.004    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:52(actors)
     1661    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\entity.py:174(is_alive)
     1655    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1195    0.003    0.000    0.003    0.000 {method 'new' of '_cffi_backend.FFI' objects}
     1193    0.006    0.000    0.034    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\ai.py:55(perform)
     1193    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:39(perform)
     1082    0.001    0.000    0.003    0.000 C:\Program Files\Python38\lib\enum.py:278(__call__)
     1082    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\enum.py:557(__new__)
     1074    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      977    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
      974    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\textwrap.py:115(__init__)
      974    0.001    0.000    0.003    0.000 C:\Program Files\Python38\lib\textwrap.py:146(_munge_whitespace)
      974    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\textwrap.py:179(<listcomp>)
      974    0.001    0.000    0.013    0.000 C:\Program Files\Python38\lib\textwrap.py:160(_split)
      974    0.013    0.000    0.019    0.000 C:\Program Files\Python38\lib\textwrap.py:233(_wrap_chunks)
      974    0.001    0.000    0.016    0.000 C:\Program Files\Python38\lib\textwrap.py:336(_split_chunks)
      974    0.001    0.000    0.037    0.000 C:\Program Files\Python38\lib\textwrap.py:342(wrap)
      974    0.002    0.000    0.040    0.000 C:\Program Files\Python38\lib\textwrap.py:368(wrap)
      974    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\message_log.py:15(full_text)
      974    0.010    0.000    0.010    0.000 {method 'split' of 're.Pattern' objects}
      974    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
      974    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      974    0.002    0.000    0.002    0.000 {method 'translate' of 'str' objects}
      968    0.002    0.000    0.002    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:85(in_bounds)
      944    0.001    0.000    0.002    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:595(_as_hashable)
      919    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:316(<genexpr>)
      862    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      715    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:2264(__eq__)
      713    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      687    0.004    0.000    0.015    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:762(get)
      686    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.SDL_PollEvent}
      678    0.004    0.000    0.005    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\render_functions.py:17(get_names_at_location)
      649    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\_internal.py:250(__init__)
      649    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\_internal.py:304(data)
      541    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:61(dest_xy)
      527    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:55(__init__)
      523    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\_internal.py:59(_check)
      497    0.004    0.000    0.004    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:65(get_blocking_entity_at_location)
      492    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copy.py:262(<genexpr>)
      480    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copy.py:241(_keep_alive)
      474    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:2271(__hash__)
      472    0.001    0.000    0.003    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:687(add_edge)
      396    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFE4DA53810}
      357    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      354    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:344(<genexpr>)
      349    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      346    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\context.py:248(convert_event)
      346    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:234(__init__)
      346    0.001    0.000    0.023    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:952(dispatch)
      346    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      344    0.019    0.000    0.020    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:394(clear)
      344    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:355(default_fg)
      344    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:344(default_bg)
      341    0.002    0.000    0.186    0.001 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\context.py:193(present)
      341    0.002    0.000   21.867    0.064 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:816(wait)
      341    0.183    0.001    0.183    0.001 {built-in method tcod._libtcod.TCOD_context_present}
      341   21.865    0.064   21.865    0.064 {built-in method tcod._libtcod.SDL_WaitEvent}
      340    0.001    0.000    0.072    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\input_handlers.py:122(handle_events)
      339    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:1161(draw_rect)
      339    0.003    0.000    0.007    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:288(__init__)
      339    0.002    0.000    0.009    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:295(from_sdl_event)
      339    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.TCOD_console_draw_rect_rgb}
      339    0.006    0.000    3.107    0.009 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\engine.py:66(render)
      339    0.002    0.000    0.002    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\scrolling_map.py:24(update)
